periode_seleksi_casn,nama_jabatan,kualifikasi_tingkat_pendidikan,kualifikasi_program_studi_jurusan,alokasi_kebutuhan,jumlah_pelamar,rasio_keketatan,passing_grade_persen,tingkat_keketatan,eselon_1_penempatan,eselon_2_penempatan,eselon_3_penempatan,lokasi,rentang_penghasilan
2024,Pranata Komputer Terampil,DIII,SISTEM INFORMASI,2,208,1:104,0.96,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",2918320-6994006
2024,Analis Kebijakan Ahli Muda,S1,"ADMINISTRASI NEGARA
ADMINISTRASI PUBLIK
ILMU PEMERINTAHAN",4,1652,1:413,0.24,tinggi,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Pengelola Keuangan,DIII,MANAJEMEN,1,271,1:271,0.37,sedang,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Penyuluh Sosial Ahli Pertama,S1,"SOSIOLOGI
ILMU KESEJAHTERAAN SOSIAL
PSIKOLOGI",1,82,1:82,1.22,rendah,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Statistisi Ahli Pertama,S1,"MATEMATIKA
STATISTIKA",1,251,1:251,0.4,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perencana Ahli Pertama,S1,MATEMATIKA,3,423,1:141,0.71,sedang,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Terampil,DIII,"SISTEM INFORMASI
TEKNOLOGI INFORMASI",4,1144,1:286,0.35,sedang,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Perencana Ahli Pertama,S1,MATEMATIKA,5,715,1:143,0.7,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Analis SDM Ahli Pertama,S1,PSIKOLOGI,4,1612,1:403,0.25,tinggi,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Kebijakan Ahli Muda,S1,"ILMU PEMERINTAHAN
ADMINISTRASI NEGARA",4,1624,1:406,0.25,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3500000-9000000
2024,Analis Hukum Ahli Pertama,S1,HUKUM,2,1234,1:617,0.16,sangat_tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Statistisi Ahli Pertama,S1,"MATEMATIKA
STATISTIKA",2,248,1:124,0.81,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"JURNALISTIK
HUBUNGAN MASYARAKAT
ILMU KOMUNIKASI",5,2180,1:436,0.23,tinggi,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pengelola Keuangan,DIII,"AKUNTANSI
MANAJEMEN",4,536,1:134,0.75,sedang,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Pranata Komputer Ahli Pertama,S1,"ILMU KOMPUTER
TEKNIK INFORMATIKA",3,903,1:301,0.33,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pengelola Keuangan,DIII,MANAJEMEN,2,466,1:233,0.43,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",2918320-6994006
2024,Analis Kebijakan Ahli Muda,S1,"ILMU PEMERINTAHAN
ADMINISTRASI PUBLIK",2,822,1:411,0.24,tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,4,568,1:142,0.7,sedang,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Terampil,DIII,"SISTEM INFORMASI
TEKNOLOGI INFORMASI",4,568,1:142,0.7,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Analis SDM Ahli Pertama,S1,"PSIKOLOGI
MANAJEMEN",4,1428,1:357,0.28,tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"DESAIN KOMUNIKASI VISUAL
MANAJEMEN KOMUNIKASI",2,610,1:305,0.33,tinggi,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,1,945,1:945,0.11,sangat_tinggi,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3500000-9000000
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,3,1314,1:438,0.23,tinggi,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perencana Ahli Pertama,S1,"MATEMATIKA
EKONOMI PEMBANGUNAN",3,456,1:152,0.66,sedang,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,4,868,1:217,0.46,sedang,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Pranata Komputer Terampil,DIII,"SISTEM INFORMASI
TEKNOLOGI INFORMASI",1,142,1:142,0.7,sedang,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Perawat Terampil,DIII,KEPERAWATAN,4,728,1:182,0.55,sedang,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Analis SDM Ahli Pertama,S1,MANAJEMEN,1,341,1:341,0.29,tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Terampil,DIII,"TEKNOLOGI INFORMASI
SISTEM INFORMASI",5,1160,1:232,0.43,sedang,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Pranata Komputer Ahli Pertama,S1,"ILMU KOMPUTER
SISTEM INFORMASI",2,720,1:360,0.28,tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,5,625,1:125,0.8,sedang,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,5,945,1:189,0.53,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Statistisi Ahli Pertama,S1,"STATISTIKA
MATEMATIKA",1,168,1:168,0.6,sedang,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perencana Ahli Pertama,S1,"MATEMATIKA
STATISTIKA
EKONOMI PEMBANGUNAN",4,644,1:161,0.62,sedang,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis Hukum Ahli Pertama,S1,HUKUM,4,2528,1:632,0.16,sangat_tinggi,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,5,850,1:170,0.59,sedang,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Pengelola Keuangan,DIII,"AKUNTANSI
MANAJEMEN",1,227,1:227,0.44,sedang,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Perawat Terampil,DIII,KEPERAWATAN,2,510,1:255,0.39,sedang,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Penyuluh Sosial Ahli Pertama,S1,SOSIOLOGI,1,87,1:87,1.15,rendah,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Arsiparis Terampil,DIII,"MANAJEMEN
TEKNOLOGI INFORMASI
SISTEM INFORMASI",1,96,1:96,1.04,rendah,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",2908320-6984006
2024,Arsiparis Terampil,DIII,SISTEM INFORMASI,1,55,1:55,1.82,rendah,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",2908320-6984006
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,1,389,1:389,0.26,tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis SDM Ahli Pertama,S1,MANAJEMEN,2,856,1:428,0.23,tinggi,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,5,3225,1:645,0.16,sangat_tinggi,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3500000-9000000
2024,Auditor Ahli Muda,S1,AKUNTANSI,2,1818,1:909,0.11,sangat_tinggi,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3500000-9000000
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,1,141,1:141,0.71,sedang,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,TEKNIK INFORMATIKA,4,1204,1:301,0.33,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis SDM Ahli Pertama,S1,"MANAJEMEN
PSIKOLOGI",2,752,1:376,0.27,tinggi,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"ILMU KOMPUTER
TEKNIK INFORMATIKA",5,2005,1:401,0.25,tinggi,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,4,720,1:180,0.56,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",2918320-6994006
2024,Analis Kebijakan Ahli Muda,S1,ADMINISTRASI NEGARA,2,860,1:430,0.23,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3500000-9000000
2024,Analis Hukum Ahli Pertama,S1,HUKUM,4,2948,1:737,0.14,sangat_tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,4,1504,1:376,0.27,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Pranata Komputer Terampil,DIII,"SISTEM INFORMASI
TEKNOLOGI INFORMASI",3,741,1:247,0.4,sedang,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Penyuluh Sosial Ahli Pertama,S1,"SOSIOLOGI
PSIKOLOGI",2,124,1:62,1.61,rendah,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
