judul_jabatan,instansi,unit_organisasi,kualifikasi_pendidikan,persyaratan_kompetensi,tugas_pokok,fungsi_jabatan,jumlah_formasi,lokasi_penempatan,kode_formasi,tautan_detail,keywords
Analis Anggaran Ahli Pertama,Kementerian Pertanian,Direktorat Jenderal Perkebunan,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang perkebunan,7,Jakarta,FORM-2025-0013,https://sscasn.bkn.go.id/formasi/FORM-2025-0013,
Auditor Terampil,Kementerian Keuangan,Badan Kebijakan Fiskal,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang fiskal,9,Denpasar,FORM-2025-0014,https://sscasn.bkn.go.id/formasi/FORM-2025-0014,
Perancang Peraturan Perundang-undangan Ahli Muda,Badan Pusat Statistik,Direktorat Statistik Kependudukan dan Ketenagakerjaan,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang ketenagakerjaan,6,Palembang,FORM-2025-0015,https://sscasn.bkn.go.id/formasi/FORM-2025-0015,
Programmer Ahli Pertama,Kementerian Dalam Negeri,Inspektorat Jenderal,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang jenderal,6,Makassar,FORM-2025-0016,https://sscasn.bkn.go.id/formasi/FORM-2025-0016,
Analis SDM Ahli Muda,Kementerian Keuangan,Direktorat Jenderal Pajak,S1 Psikologi/Manajemen SDM,"Rekrutmen & Seleksi, Assessment, Pengembangan SDM, HRIS, Komunikasi","Mengelola proses rekrutmen, mengembangkan sistem penilaian kinerja, dan merencanakan program pengembangan pegawai.",Fungsi Analis SDM di bidang pajak,1,Medan,FORM-2025-0017,https://sscasn.bkn.go.id/formasi/FORM-2025-0017,
Public Relations Officer Terampil,Kementerian Hukum dan HAM,Direktorat Jenderal Administrasi Hukum Umum,S1 Ilmu Komunikasi/Public Relations,"Media Relations, Press Release Writing, Social Media Management, Event Management, Komunikasi","Mengelola komunikasi publik instansi, membuat siaran pers, mengelola media sosial, dan koordinasi event.",Fungsi Public Relations Officer di bidang umum,4,Denpasar,FORM-2025-0018,https://sscasn.bkn.go.id/formasi/FORM-2025-0018,
Peneliti Ahli Muda,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pusat Penelitian dan Pengembangan,S2/S3 sesuai bidang penelitian,"Metodologi Penelitian, Analisis Data, Academic Writing, Publikasi Ilmiah, Presentasi","Melakukan penelitian di bidang tertentu, mempublikasikan hasil penelitian, dan memberikan rekomendasi kebijakan berbasis riset.",Fungsi Peneliti di bidang pengembangan,3,Manado,FORM-2025-0019,https://sscasn.bkn.go.id/formasi/FORM-2025-0019,
Analis Anggaran Ahli Pertama,Badan Pusat Statistik,Direktorat Statistik Kependudukan dan Ketenagakerjaan,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang ketenagakerjaan,1,Palembang,FORM-2025-0020,https://sscasn.bkn.go.id/formasi/FORM-2025-0020,
Perancang Peraturan Perundang-undangan Ahli Pertama,Kementerian Hukum dan HAM,Direktorat Jenderal Imigrasi,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang imigrasi,5,Jakarta,FORM-2025-0021,https://sscasn.bkn.go.id/formasi/FORM-2025-0021,
Analis Kebijakan Terampil,Kementerian BUMN,Inspektorat,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang inspektorat,8,Bandung,FORM-2025-0022,https://sscasn.bkn.go.id/formasi/FORM-2025-0022,
Graphic Designer Ahli Muda,Kementerian Komunikasi dan Informatika,Direktorat e-Government,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang e-government,2,Medan,FORM-2025-0023,https://sscasn.bkn.go.id/formasi/FORM-2025-0023,
Data Scientist Terampil,Kementerian Komunikasi dan Informatika,Direktorat Jenderal Aplikasi Informatika,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang informatika,7,Manado,FORM-2025-0024,https://sscasn.bkn.go.id/formasi/FORM-2025-0024,
Analis Anggaran Ahli Pertama,Kementerian Hukum dan HAM,Direktorat Jenderal Pemasyarakatan,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang pemasyarakatan,2,Manado,FORM-2025-0025,https://sscasn.bkn.go.id/formasi/FORM-2025-0025,
Analis Anggaran Ahli Muda,Kementerian BUMN,Inspektorat,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang inspektorat,8,Bandung,FORM-2025-0026,https://sscasn.bkn.go.id/formasi/FORM-2025-0026,
Network Administrator Ahli Pertama,Kementerian Pertanian,Direktorat Jenderal Perkebunan,S1 Teknik Informatika/Teknik Komputer,"Cisco, Network Security, Linux/Windows Server, Firewall, Troubleshooting","Mengelola infrastruktur jaringan, memastikan keamanan jaringan, troubleshooting, dan dokumentasi jaringan.",Fungsi Network Administrator di bidang perkebunan,10,Yogyakarta,FORM-2025-0027,https://sscasn.bkn.go.id/formasi/FORM-2025-0027,
Network Administrator Ahli Pertama,Kementerian BUMN,"Deputi Bidang Usaha Pertambangan, Industri Strategis dan Media",S1 Teknik Informatika/Teknik Komputer,"Cisco, Network Security, Linux/Windows Server, Firewall, Troubleshooting","Mengelola infrastruktur jaringan, memastikan keamanan jaringan, troubleshooting, dan dokumentasi jaringan.",Fungsi Network Administrator di bidang media,1,Makassar,FORM-2025-0028,https://sscasn.bkn.go.id/formasi/FORM-2025-0028,
Peneliti Ahli Pertama,Kementerian Hukum dan HAM,Direktorat Jenderal Administrasi Hukum Umum,S2/S3 sesuai bidang penelitian,"Metodologi Penelitian, Analisis Data, Academic Writing, Publikasi Ilmiah, Presentasi","Melakukan penelitian di bidang tertentu, mempublikasikan hasil penelitian, dan memberikan rekomendasi kebijakan berbasis riset.",Fungsi Peneliti di bidang umum,4,Palembang,FORM-2025-0029,https://sscasn.bkn.go.id/formasi/FORM-2025-0029,
Programmer Ahli Muda,Kementerian Dalam Negeri,Inspektorat Jenderal,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang jenderal,2,Semarang,FORM-2025-0030,https://sscasn.bkn.go.id/formasi/FORM-2025-0030,
Graphic Designer Ahli Muda,Kementerian Komunikasi dan Informatika,Balai Sertifikasi Elektronik,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang elektronik,1,Surabaya,FORM-2025-0031,https://sscasn.bkn.go.id/formasi/FORM-2025-0031,
Data Scientist Terampil,Kementerian Pertanian,Direktorat Jenderal Tanaman Pangan,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang pangan,6,Yogyakarta,FORM-2025-0032,https://sscasn.bkn.go.id/formasi/FORM-2025-0032,
Auditor Ahli Muda,Kementerian Kesehatan,Inspektorat Jenderal,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang jenderal,6,Manado,FORM-2025-0033,https://sscasn.bkn.go.id/formasi/FORM-2025-0033,
Graphic Designer Terampil,Badan Pusat Statistik,Direktorat Statistik Kependudukan dan Ketenagakerjaan,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang ketenagakerjaan,9,Bandung,FORM-2025-0034,https://sscasn.bkn.go.id/formasi/FORM-2025-0034,
Network Administrator Ahli Pertama,Kementerian Dalam Negeri,Direktorat Jenderal Bina Keuangan Daerah,S1 Teknik Informatika/Teknik Komputer,"Cisco, Network Security, Linux/Windows Server, Firewall, Troubleshooting","Mengelola infrastruktur jaringan, memastikan keamanan jaringan, troubleshooting, dan dokumentasi jaringan.",Fungsi Network Administrator di bidang daerah,4,Bandung,FORM-2025-0035,https://sscasn.bkn.go.id/formasi/FORM-2025-0035,
Perancang Peraturan Perundang-undangan Terampil,Kementerian Kesehatan,Direktorat Jenderal Pencegahan dan Pengendalian Penyakit,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang penyakit,2,Surabaya,FORM-2025-0036,https://sscasn.bkn.go.id/formasi/FORM-2025-0036,
Analis SDM Ahli Pertama,Badan Kepegawaian Negara,Pusat Penilaian Kompetensi ASN,S1 Psikologi/Manajemen SDM,"Rekrutmen & Seleksi, Assessment, Pengembangan SDM, HRIS, Komunikasi","Mengelola proses rekrutmen, mengembangkan sistem penilaian kinerja, dan merencanakan program pengembangan pegawai.",Fungsi Analis SDM di bidang asn,7,Denpasar,FORM-2025-0037,https://sscasn.bkn.go.id/formasi/FORM-2025-0037,
Analis Anggaran Ahli Muda,Kementerian Hukum dan HAM,Badan Penelitian dan Pengembangan Hukum dan HAM,S1 Akuntansi/Manajemen Keuangan/Ekonomi,"Budget Planning, Financial Analysis, Microsoft Excel, Reporting, SAP/Oracle","Menyusun anggaran, menganalisis realisasi anggaran, melakukan forecast, dan menyajikan laporan keuangan.",Fungsi Analis Anggaran di bidang ham,1,Medan,FORM-2025-0038,https://sscasn.bkn.go.id/formasi/FORM-2025-0038,
Analis SDM Ahli Muda,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Balai Pengembangan Talenta Indonesia,S1 Psikologi/Manajemen SDM,"Rekrutmen & Seleksi, Assessment, Pengembangan SDM, HRIS, Komunikasi","Mengelola proses rekrutmen, mengembangkan sistem penilaian kinerja, dan merencanakan program pengembangan pegawai.",Fungsi Analis SDM di bidang indonesia,8,Bandung,FORM-2025-0039,https://sscasn.bkn.go.id/formasi/FORM-2025-0039,
Auditor Ahli Pertama,Kementerian Keuangan,Badan Kebijakan Fiskal,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang fiskal,10,Palembang,FORM-2025-0040,https://sscasn.bkn.go.id/formasi/FORM-2025-0040,
Analis Kebijakan Ahli Pertama,Badan Pusat Statistik,Direktorat Statistik Ekonomi,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang ekonomi,8,Medan,FORM-2025-0041,https://sscasn.bkn.go.id/formasi/FORM-2025-0041,
Auditor Terampil,Kementerian BUMN,Inspektorat,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang inspektorat,4,Semarang,FORM-2025-0042,https://sscasn.bkn.go.id/formasi/FORM-2025-0042,
Peneliti Ahli Muda,Badan Pusat Statistik,Direktorat Diseminasi Statistik,S2/S3 sesuai bidang penelitian,"Metodologi Penelitian, Analisis Data, Academic Writing, Publikasi Ilmiah, Presentasi","Melakukan penelitian di bidang tertentu, mempublikasikan hasil penelitian, dan memberikan rekomendasi kebijakan berbasis riset.",Fungsi Peneliti di bidang statistik,6,Denpasar,FORM-2025-0043,https://sscasn.bkn.go.id/formasi/FORM-2025-0043,
Auditor Ahli Muda,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Balai Pengembangan Talenta Indonesia,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang indonesia,4,Surabaya,FORM-2025-0044,https://sscasn.bkn.go.id/formasi/FORM-2025-0044,
Programmer Terampil,Kementerian Dalam Negeri,Inspektorat Jenderal,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang jenderal,9,Manado,FORM-2025-0045,https://sscasn.bkn.go.id/formasi/FORM-2025-0045,
Analis Kebijakan Ahli Muda,Badan Kepegawaian Negara,Deputi Bidang Pembinaan Pegawai,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang pegawai,3,Medan,FORM-2025-0046,https://sscasn.bkn.go.id/formasi/FORM-2025-0046,
Analis Kebijakan Ahli Pertama,Kementerian Hukum dan HAM,Direktorat Jenderal Pemasyarakatan,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang pemasyarakatan,3,Denpasar,FORM-2025-0047,https://sscasn.bkn.go.id/formasi/FORM-2025-0047,
Analis Kebijakan Ahli Muda,Kementerian Kesehatan,Inspektorat Jenderal,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang jenderal,6,Palembang,FORM-2025-0048,https://sscasn.bkn.go.id/formasi/FORM-2025-0048,
Programmer Ahli Muda,Kementerian Keuangan,Direktorat Jenderal Perbendaharaan,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang perbendaharaan,1,Yogyakarta,FORM-2025-0049,https://sscasn.bkn.go.id/formasi/FORM-2025-0049,
Graphic Designer Ahli Pertama,Kementerian Komunikasi dan Informatika,Direktorat Jenderal Aplikasi Informatika,S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang informatika,6,Palembang,FORM-2025-0050,https://sscasn.bkn.go.id/formasi/FORM-2025-0050,
Programmer Terampil,Badan Kepegawaian Negara,Pusat Pengembangan Sistem Kepegawaian,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang kepegawaian,7,Palembang,FORM-2025-0051,https://sscasn.bkn.go.id/formasi/FORM-2025-0051,
Auditor Terampil,Kementerian Keuangan,Badan Kebijakan Fiskal,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang fiskal,6,Bandung,FORM-2025-0052,https://sscasn.bkn.go.id/formasi/FORM-2025-0052,
Network Administrator Ahli Muda,Kementerian Hukum dan HAM,Direktorat Jenderal Imigrasi,S1 Teknik Informatika/Teknik Komputer,"Cisco, Network Security, Linux/Windows Server, Firewall, Troubleshooting","Mengelola infrastruktur jaringan, memastikan keamanan jaringan, troubleshooting, dan dokumentasi jaringan.",Fungsi Network Administrator di bidang imigrasi,8,Jakarta,FORM-2025-0053,https://sscasn.bkn.go.id/formasi/FORM-2025-0053,
Analis Kebijakan Ahli Muda,Kementerian BUMN,Deputi Bidang Usaha Infrastruktur dan Kawasan,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang kawasan,4,Makassar,FORM-2025-0054,https://sscasn.bkn.go.id/formasi/FORM-2025-0054,
Graphic Designer Ahli Muda,Kementerian BUMN,"Deputi Bidang Usaha Pertambangan, Industri Strategis dan Media",S1 Desain Komunikasi Visual/Desain Grafis,"Adobe Photoshop, Illustrator, InDesign, Video Editing, Typography","Membuat desain visual untuk kampanye publik, infografis, publikasi, dan konten media sosial instansi.",Fungsi Graphic Designer di bidang media,2,Yogyakarta,FORM-2025-0055,https://sscasn.bkn.go.id/formasi/FORM-2025-0055,
Programmer Ahli Muda,Kementerian Keuangan,Direktorat Jenderal Perbendaharaan,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang perbendaharaan,1,Jakarta,FORM-2025-0056,https://sscasn.bkn.go.id/formasi/FORM-2025-0056,
Analis Kebijakan Ahli Muda,Kementerian Hukum dan HAM,Direktorat Jenderal Administrasi Hukum Umum,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang umum,6,Manado,FORM-2025-0057,https://sscasn.bkn.go.id/formasi/FORM-2025-0057,
Data Scientist Ahli Pertama,Badan Pusat Statistik,Pusat Data dan Informasi,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang informasi,1,Manado,FORM-2025-0058,https://sscasn.bkn.go.id/formasi/FORM-2025-0058,
Public Relations Officer Ahli Muda,Kementerian Kesehatan,Inspektorat Jenderal,S1 Ilmu Komunikasi/Public Relations,"Media Relations, Press Release Writing, Social Media Management, Event Management, Komunikasi","Mengelola komunikasi publik instansi, membuat siaran pers, mengelola media sosial, dan koordinasi event.",Fungsi Public Relations Officer di bidang jenderal,3,Semarang,FORM-2025-0059,https://sscasn.bkn.go.id/formasi/FORM-2025-0059,
